method,k,silhouette_score,silhouette_sampled,davies_bouldin_index,calinski_harabasz_index,inertia_wcss,kmedoids_distance,kmedoids_sampled_fit,kmedoids_fit_sample_size,cluster_balance_score,min_cluster_size,max_cluster_size,rank_score
KMeans,3,0.5228549838066101,True,0.6419806743436006,154256.0902679539,5278.09423828125,,False,,0.6259680256215052,23845,38093,0.8532033903779515
KMedoids,3,0.5161606073379517,True,0.6354922845153542,152331.6619699755,,5519.888671875,True,5000.0,0.6486379264744776,24525,37810,0.8447078965191848
KMeans,4,0.5168039798736572,True,0.7123781170493543,158660.34640364672,3737.96142578125,,False,,0.31144829758748327,11864,38093,0.7483134747223081
KMedoids,4,0.5152352452278137,True,0.7124299040367665,158596.3561619259,,3990.38671875,True,5000.0,0.3103321998430552,11864,38230,0.7448570581494991
KMeans,2,0.5555094480514526,True,0.7333088371609287,111898.20609092058,10177.26953125,,False,,0.31535999576786755,23845,75612,0.7418030443376133
KMeans,5,0.4649810194969177,True,0.7919393005316874,165160.20049364388,2829.83544921875,,False,,0.4525480622520598,11864,26216,0.6646719567622298
KMedoids,5,0.4756647050380707,True,0.7813420131270015,139435.22957389333,,3499.657470703125,True,5000.0,0.26724264167520867,9125,34145,0.6024942038567289
KMedoids,2,0.35074350237846375,True,1.368190957263301,41981.478206816166,,17266.318359375,True,5000.0,0.886370533343449,46733,52724,0.15
